Executable,Threads,Run,Time
spmv_guided,4,3,
spmv_guided,4,4,
spmv_guided,4,4,
spmv_guided,4,5,
spmv_guided,4,5,
spmv_guided,4,6,
spmv_guided,4,6,
spmv_guided,4,7,
spmv_guided,4,7,
spmv_guided,4,8,
spmv_guided,4,8,
spmv_guided,4,9,
spmv_guided,4,9,
spmv_guided,4,10,
spmv_guided,4,10,
spmv_guided,4,11,
spmv_guided,4,11,
spmv_guided,4,12,
spmv_guided,4,12,
spmv_guided,8,1,
spmv_guided,8,1,
spmv_guided,8,2,
spmv_guided,8,2,
spmv_guided,8,3,
spmv_guided,8,3,
spmv_guided,8,4,
spmv_guided,8,4,
spmv_guided,8,5,
spmv_guided,8,5,
spmv_guided,8,6,
spmv_guided,8,6,
spmv_guided,8,7,
spmv_guided,8,7,
spmv_guided,8,8,
spmv_guided,8,8,
spmv_guided,8,9,
spmv_guided,8,9,
spmv_guided,8,10,
spmv_guided,8,10,
spmv_guided,8,11,
spmv_guided,8,11,
spmv_guided,8,12,
spmv_guided,8,12,
spmv_guided,16,1,
spmv_guided,16,1,
spmv_guided,16,2,
spmv_guided,16,2,
spmv_guided,16,3,
spmv_guided,16,3,
spmv_guided,16,4,
spmv_guided,16,4,
spmv_guided,16,5,
spmv_guided,16,5,
spmv_guided,16,6,
spmv_guided,16,6,
spmv_guided,16,7,
spmv_guided,16,7,
spmv_guided,16,8,
spmv_guided,16,8,
spmv_guided,16,9,
spmv_guided,16,9,
spmv_guided,16,10,
spmv_guided,16,10,
spmv_guided,16,11,
spmv_guided,16,11,
spmv_guided,16,12,
spmv_guided,16,12,
spmv_runtime,1,1,
spmv_runtime,1,1,
spmv_runtime,1,2,
spmv_runtime,1,2,
spmv_runtime,1,3,
spmv_runtime,1,3,
spmv_runtime,1,4,
spmv_runtime,1,4,
spmv_runtime,1,5,
spmv_runtime,1,5,
spmv_runtime,1,6,
spmv_runtime,1,6,
spmv_runtime,1,7,
spmv_runtime,1,7,
spmv_runtime,1,8,
spmv_runtime,1,8,
spmv_runtime,1,9,
spmv_runtime,1,9,
spmv_runtime,1,10,
spmv_runtime,1,10,
spmv_runtime,1,11,
spmv_runtime,1,11,
spmv_runtime,1,12,
spmv_runtime,1,12,
spmv_runtime,2,1,
spmv_runtime,2,1,
spmv_runtime,2,2,
spmv_runtime,2,2,
spmv_runtime,2,3,
spmv_runtime,2,3,
spmv_runtime,2,4,
spmv_runtime,2,4,
spmv_runtime,2,5,
spmv_runtime,2,5,
spmv_runtime,2,6,
spmv_runtime,2,6,
spmv_runtime,2,7,
spmv_runtime,2,7,
spmv_runtime,2,8,
spmv_runtime,2,8,
spmv_runtime,2,9,
spmv_runtime,2,9,
spmv_runtime,2,10,
spmv_runtime,2,10,
spmv_runtime,2,11,
spmv_runtime,2,11,
spmv_runtime,2,12,
spmv_runtime,2,12,
spmv_runtime,4,1,
spmv_runtime,4,1,
spmv_runtime,4,2,
spmv_runtime,4,2,
spmv_runtime,4,3,
spmv_runtime,4,3,
spmv_runtime,4,4,
spmv_runtime,4,4,
spmv_runtime,4,5,
spmv_runtime,4,5,
spmv_runtime,4,6,
spmv_runtime,4,6,
spmv_runtime,4,7,
spmv_runtime,4,7,
spmv_runtime,4,8,
spmv_runtime,4,8,
spmv_runtime,4,9,
spmv_runtime,4,9,
spmv_runtime,4,10,
spmv_runtime,4,10,
spmv_runtime,4,11,
spmv_runtime,4,11,
spmv_runtime,4,12,
spmv_runtime,4,12,
spmv_runtime,8,1,
spmv_runtime,8,1,
spmv_runtime,8,2,
spmv_runtime,8,2,
spmv_runtime,8,3,
spmv_runtime,8,3,
spmv_runtime,8,4,
spmv_runtime,8,4,
spmv_runtime,8,5,
spmv_runtime,8,5,
spmv_runtime,8,6,
spmv_runtime,8,6,
spmv_runtime,8,7,
spmv_runtime,8,7,
spmv_runtime,8,8,
spmv_runtime,8,8,
spmv_runtime,8,9,
spmv_runtime,8,9,
spmv_runtime,8,10,
spmv_runtime,8,10,
spmv_runtime,8,11,
spmv_runtime,8,11,
spmv_runtime,8,12,
spmv_runtime,8,12,
spmv_runtime,16,1,
spmv_runtime,16,1,
spmv_runtime,16,2,
spmv_runtime,16,2,
spmv_runtime,16,3,
spmv_runtime,16,3,
spmv_runtime,16,4,
spmv_runtime,16,4,
spmv_runtime,16,5,
spmv_runtime,16,5,
spmv_runtime,16,6,
spmv_runtime,16,6,
spmv_runtime,16,7,
spmv_runtime,16,7,
spmv_runtime,16,8,
spmv_runtime,16,8,
spmv_runtime,16,9,
spmv_runtime,16,9,
spmv_runtime,16,10,
spmv_runtime,16,10,
spmv_runtime,16,11,
spmv_runtime,16,11,
spmv_runtime,16,12,
spmv_runtime,16,12,
spmv_auto,1,1,
spmv_auto,1,1,
spmv_auto,1,2,
spmv_auto,1,2,
spmv_auto,1,3,
spmv_auto,1,3,
spmv_auto,1,4,
spmv_auto,1,4,
spmv_auto,1,5,
spmv_auto,1,5,
spmv_auto,1,6,
spmv_auto,1,6,
spmv_auto,1,7,
spmv_auto,1,7,
spmv_auto,1,8,
spmv_auto,1,8,
spmv_auto,1,9,
spmv_auto,1,9,
spmv_auto,1,10,
spmv_auto,1,10,
spmv_auto,1,11,
spmv_auto,1,11,
spmv_auto,1,12,
spmv_auto,1,12,
spmv_auto,2,1,
spmv_auto,2,1,
spmv_auto,2,2,
spmv_auto,2,2,
spmv_auto,2,3,
spmv_auto,2,3,
spmv_auto,2,4,
spmv_auto,2,4,
spmv_auto,2,5,
spmv_auto,2,5,
spmv_auto,2,6,
spmv_auto,2,6,
spmv_auto,2,7,
spmv_auto,2,7,
spmv_auto,2,8,
spmv_auto,2,8,
spmv_auto,2,9,
spmv_auto,2,9,
spmv_auto,2,10,
spmv_auto,2,10,
spmv_auto,2,11,
spmv_auto,2,11,
spmv_auto,2,12,
spmv_auto,2,12,
spmv_auto,4,1,
spmv_auto,4,1,
spmv_auto,4,2,
spmv_auto,4,2,
spmv_auto,4,3,
spmv_auto,4,3,
spmv_auto,4,4,
spmv_auto,4,4,
spmv_auto,4,5,
spmv_auto,4,5,
spmv_auto,4,6,
spmv_auto,4,6,
spmv_auto,4,7,
spmv_auto,4,7,
spmv_auto,4,8,
spmv_auto,4,8,
spmv_auto,4,9,
spmv_auto,4,9,
spmv_auto,4,10,
spmv_auto,4,10,
spmv_auto,4,11,
spmv_auto,4,11,
spmv_auto,4,12,
spmv_auto,4,12,
spmv_auto,8,1,
spmv_auto,8,1,
spmv_auto,8,2,
spmv_auto,8,2,
spmv_auto,8,3,
spmv_auto,8,3,
spmv_auto,8,4,
spmv_auto,8,4,
spmv_auto,8,5,
spmv_auto,8,5,
spmv_auto,8,6,
spmv_auto,8,6,
spmv_auto,8,7,
spmv_auto,8,7,
spmv_auto,8,8,
spmv_auto,8,8,
spmv_auto,8,9,
spmv_auto,8,9,
spmv_auto,8,10,
spmv_auto,8,10,
spmv_auto,8,11,
spmv_auto,8,11,
spmv_auto,8,12,
spmv_auto,8,12,
spmv_auto,16,1,
spmv_auto,16,1,
spmv_auto,16,2,
spmv_auto,16,2,
spmv_auto,16,3,
spmv_auto,16,3,
spmv_auto,16,4,
spmv_auto,16,4,
spmv_auto,16,5,
spmv_auto,16,5,
spmv_auto,16,6,
spmv_auto,16,6,
spmv_auto,16,7,
spmv_auto,16,7,
spmv_auto,16,8,
spmv_auto,16,8,
spmv_auto,16,9,
spmv_auto,16,9,
spmv_auto,16,10,
spmv_auto,16,10,
spmv_auto,16,11,
spmv_auto,16,11,
spmv_auto,16,12,
spmv_auto,16,12,
spmv_chunked,1,1,
spmv_chunked,1,1,
spmv_chunked,1,1,
spmv_chunked,1,1,
spmv_chunked,1,2,
spmv_chunked,1,2,
spmv_chunked,1,2,
spmv_chunked,1,2,
spmv_chunked,1,3,
spmv_chunked,1,3,
spmv_chunked,1,3,
spmv_chunked,1,3,
spmv_chunked,1,4,
spmv_chunked,1,4,
spmv_chunked,1,4,
spmv_chunked,1,4,
spmv_chunked,1,5,
spmv_chunked,1,5,
spmv_chunked,1,5,
spmv_chunked,1,5,
spmv_chunked,1,6,
spmv_chunked,1,6,
spmv_chunked,1,6,
spmv_chunked,1,6,
spmv_chunked,1,7,
spmv_chunked,1,7,
spmv_chunked,1,7,
spmv_chunked,1,7,
spmv_chunked,1,8,
spmv_chunked,1,8,
spmv_chunked,1,8,
spmv_chunked,1,8,
spmv_chunked,1,9,
spmv_chunked,1,9,
spmv_chunked,1,9,
spmv_chunked,1,9,
spmv_chunked,1,10,
spmv_chunked,1,10,
spmv_chunked,1,10,
spmv_chunked,1,10,
spmv_chunked,1,11,
spmv_chunked,1,11,
spmv_chunked,1,11,
spmv_chunked,1,11,
spmv_chunked,1,12,
spmv_chunked,1,12,
spmv_chunked,1,12,
spmv_chunked,1,12,
spmv_chunked,2,1,
spmv_chunked,2,1,
spmv_chunked,2,1,
spmv_chunked,2,1,
spmv_chunked,2,2,
spmv_chunked,2,2,
spmv_chunked,2,2,
spmv_chunked,2,2,
spmv_chunked,2,3,
spmv_chunked,2,3,
spmv_chunked,2,3,
spmv_chunked,2,3,
spmv_chunked,2,4,
spmv_chunked,2,4,
spmv_chunked,2,4,
spmv_chunked,2,4,
spmv_chunked,2,5,
spmv_chunked,2,5,
spmv_chunked,2,5,
spmv_chunked,2,5,
spmv_chunked,2,6,
spmv_chunked,2,6,
spmv_chunked,2,6,
spmv_chunked,2,6,
spmv_chunked,2,7,
spmv_chunked,2,7,
spmv_chunked,2,7,
spmv_chunked,2,7,
spmv_chunked,2,8,
spmv_chunked,2,8,
spmv_chunked,2,8,
spmv_chunked,2,8,
spmv_chunked,2,9,
spmv_chunked,2,9,
spmv_chunked,2,9,
spmv_chunked,2,9,
spmv_chunked,2,10,
spmv_chunked,2,10,
spmv_chunked,2,10,
spmv_chunked,2,10,
spmv_chunked,2,11,
spmv_chunked,2,11,
spmv_chunked,2,11,
spmv_chunked,2,11,
spmv_chunked,2,12,
spmv_chunked,2,12,
spmv_chunked,2,12,
spmv_chunked,2,12,
spmv_chunked,4,1,
spmv_chunked,4,1,
spmv_chunked,4,1,
spmv_chunked,4,1,
spmv_chunked,4,2,
spmv_chunked,4,2,
spmv_chunked,4,2,
spmv_chunked,4,2,
spmv_chunked,4,3,
spmv_chunked,4,3,
spmv_chunked,4,3,
spmv_chunked,4,3,
spmv_chunked,4,4,
spmv_chunked,4,4,
spmv_chunked,4,4,
spmv_chunked,4,4,
spmv_chunked,4,5,
spmv_chunked,4,5,
spmv_chunked,4,5,
spmv_chunked,4,5,
spmv_chunked,4,6,
spmv_chunked,4,6,
spmv_chunked,4,6,
spmv_chunked,4,6,
spmv_chunked,4,7,
spmv_chunked,4,7,
spmv_chunked,4,7,
spmv_chunked,4,7,
spmv_chunked,4,8,
spmv_chunked,4,8,
spmv_chunked,4,8,
spmv_chunked,4,8,
spmv_chunked,4,9,
spmv_chunked,4,9,
spmv_chunked,4,9,
spmv_chunked,4,9,
spmv_chunked,4,10,
spmv_chunked,4,10,
spmv_chunked,4,10,
spmv_chunked,4,10,
spmv_chunked,4,11,
spmv_chunked,4,11,
spmv_chunked,4,11,
spmv_chunked,4,11,
spmv_chunked,4,12,
spmv_chunked,4,12,
spmv_chunked,4,12,
spmv_chunked,4,12,
spmv_chunked,8,1,
spmv_chunked,8,1,
spmv_chunked,8,1,
spmv_chunked,8,1,
spmv_chunked,8,2,
spmv_chunked,8,2,
spmv_chunked,8,2,
spmv_chunked,8,2,
spmv_chunked,8,3,
spmv_chunked,8,3,
spmv_chunked,8,3,
spmv_chunked,8,3,
spmv_chunked,8,4,
spmv_chunked,8,4,
spmv_chunked,8,4,
spmv_chunked,8,4,
spmv_chunked,8,5,
spmv_chunked,8,5,
spmv_chunked,8,5,
spmv_chunked,8,5,
spmv_chunked,8,6,
spmv_chunked,8,6,
spmv_chunked,8,6,
spmv_chunked,8,6,
spmv_chunked,8,7,
spmv_chunked,8,7,
spmv_chunked,8,7,
spmv_chunked,8,7,
spmv_chunked,8,8,
spmv_chunked,8,8,
spmv_chunked,8,8,
spmv_chunked,8,8,
spmv_chunked,8,9,
spmv_chunked,8,9,
spmv_chunked,8,9,
spmv_chunked,8,9,
spmv_chunked,8,10,
spmv_chunked,8,10,
spmv_chunked,8,10,
spmv_chunked,8,10,
spmv_chunked,8,11,
spmv_chunked,8,11,
spmv_chunked,8,11,
spmv_chunked,8,11,
spmv_chunked,8,12,
spmv_chunked,8,12,
spmv_chunked,8,12,
spmv_chunked,8,12,
spmv_chunked,16,1,
spmv_chunked,16,1,
spmv_chunked,16,1,
spmv_chunked,16,1,
spmv_chunked,16,2,
spmv_chunked,16,2,
spmv_chunked,16,2,
spmv_chunked,16,2,
spmv_chunked,16,3,
spmv_chunked,16,3,
spmv_chunked,16,3,
spmv_chunked,16,3,
spmv_chunked,16,4,
spmv_chunked,16,4,
spmv_chunked,16,4,
spmv_chunked,16,4,
spmv_chunked,16,5,
spmv_chunked,16,5,
spmv_chunked,16,5,
spmv_chunked,16,5,
spmv_chunked,16,6,
spmv_chunked,16,6,
spmv_chunked,16,6,
spmv_chunked,16,6,
spmv_chunked,16,7,
spmv_chunked,16,7,
spmv_chunked,16,7,
spmv_chunked,16,7,
spmv_chunked,16,8,
spmv_chunked,16,8,
spmv_chunked,16,8,
spmv_chunked,16,8,
spmv_chunked,16,9,
spmv_chunked,16,9,
spmv_chunked,16,9,
spmv_chunked,16,9,
spmv_chunked,16,10,
spmv_chunked,16,10,
spmv_chunked,16,10,
spmv_chunked,16,10,
spmv_chunked,16,11,
spmv_chunked,16,11,
spmv_chunked,16,11,
spmv_chunked,16,11,
spmv_chunked,16,12,
spmv_chunked,16,12,
spmv_chunked,16,12,
spmv_chunked,16,12,
