num_procs,distribution,rank,matrix,elapsed_time,comm_time,local_nz,ghost_entries,local_flops,comp_time
8,2D,4,1138_bus,0.1279959238,0.0959735536,36.0,24.0,72.0,0.0320223702
8,2D,4,cond-mat-2005,0.12819385960000002,0.0960177401,33402.0,5378.0,66804.0,0.03217611950000002
8,2D,4,dixmaanl,0.0960650183,0.0640272422,20000.0,13125.0,40000.0,0.0320377761
8,2D,4,flowmeter0,0.1279876109,0.0959919155,0.0,0.0,0.0,0.031995695399999996
8,2D,5,1138_bus,0.1279784373,0.09598304590000001,106.0,41.0,212.0,0.03199539139999999
8,2D,5,cond-mat-2005,0.1285558399,0.0964804305,17311.0,3761.0,34622.0,0.03207540939999999
8,2D,5,dixmaanl,0.09924313579999999,0.06724135299999999,20001.0,13125.0,40002.0,0.0320017828
8,2D,5,flowmeter0,0.1279892029,0.0960026215,126.0,52.0,252.0,0.03198658139999999
8,2D,6,1138_bus,0.1279913239,0.0959957887,614.0,249.0,1228.0,0.03199553520000001
8,2D,6,cond-mat-2005,0.10375311609999999,0.0664271043,16327.0,4943.0,32654.0,0.03732601179999999
8,2D,6,dixmaanl,0.096071809,0.06402510909999999,40000.0,13125.0,80000.0,0.0320466999
8,2D,6,flowmeter0,0.1244046409,0.0923758543,9661.0,2116.0,19322.0,0.0320287866
8,2D,7,1138_bus,0.11729122519999999,0.09601081959999999,551.0,247.0,1102.0,0.021280405599999996
8,2D,7,cond-mat-2005,0.1280811437,0.0960140621,8047.0,3557.0,16094.0,0.032067081600000005
8,2D,7,dixmaanl,0.12805643430000002,0.0960440471,29999.0,13125.0,59998.0,0.03201238720000002
8,2D,7,flowmeter0,0.13122905449999997,0.09926372869999998,9540.0,2113.0,19080.0,0.031965325799999986
8,2D_cyclic,0,1138_bus,0.1018677638,0.06944238009999999,450.0,142.0,900.0,0.032425383700000004
8,2D_cyclic,0,cond-mat-2005,0.0996601805,0.06721976349999999,20748.0,2331.0,41496.0,0.03244041700000001
8,2D_cyclic,0,dixmaanl,0.0960660651,0.0640255517,30000.0,7500.0,60000.0,0.0320405134
8,2D_cyclic,0,flowmeter0,0.10202234319999999,0.06997060299999999,6018.0,1209.0,12036.0,0.0320517402
8,2D_cyclic,1,1138_bus,0.09990172819999998,0.06792943269999999,228.0,71.0,456.0,0.0319722955
8,2D_cyclic,1,cond-mat-2005,0.09628360470000001,0.0640316388,23562.0,3093.0,47124.0,0.03225196590000001
8,2D_cyclic,1,dixmaanl,0.0960455327,0.0640327292,15000.0,7500.0,30000.0,0.032012803500000006
8,2D_cyclic,1,flowmeter0,0.0964440009,0.0644213049,3574.0,1072.0,7148.0,0.03202269599999999
8,2D_cyclic,2,1138_bus,0.10200399469999999,0.0644444055,435.0,142.0,870.0,0.03755958919999999
8,2D_cyclic,2,cond-mat-2005,0.10354574699999998,0.0640299967,20521.0,2381.0,41042.0,0.039515750299999985
8,2D_cyclic,2,dixmaanl,0.09930686069999999,0.06721417099999999,30000.0,7500.0,60000.0,0.032092689699999996
8,2D_cyclic,2,flowmeter0,0.0964515191,0.0644154498,6055.0,1208.0,12110.0,0.0320360693
8,2D_cyclic,3,1138_bus,0.10119686209999999,0.0682473414,220.0,70.0,440.0,0.0329495207
8,2D_cyclic,3,cond-mat-2005,0.10021909509999999,0.0644378766,23432.0,3085.0,46864.0,0.03578121849999999
8,2D_cyclic,3,dixmaanl,0.096053348,0.0640256691,14999.0,7499.0,29998.0,0.032027678899999995
8,2D_cyclic,3,flowmeter0,0.09966153509999998,0.06762254589999998,3624.0,1096.0,7248.0,0.03203898919999999
8,2D_cyclic,4,1138_bus,0.0980143251,0.0668076668,199.0,71.0,398.0,0.031206658299999995
8,2D_cyclic,4,cond-mat-2005,0.10306832799999999,0.07080932969999999,23609.0,3032.0,47218.0,0.032258998299999994
8,2D_cyclic,4,dixmaanl,0.09648740659999999,0.0640192666,15000.0,7500.0,30000.0,0.03246813999999999
8,2D_cyclic,4,flowmeter0,0.09889833199999998,0.06688366389999999,3633.0,1099.0,7266.0,0.03201466809999999
8,2D_cyclic,5,1138_bus,0.1014041483,0.06980119409999999,420.0,143.0,840.0,0.031602954200000005
8,2D_cyclic,5,cond-mat-2005,0.09669358559999999,0.0644358198,20347.0,2334.0,40694.0,0.03225776579999999
8,2D_cyclic,5,dixmaanl,0.09647096220000001,0.0644161202,30000.0,7500.0,60000.0,0.032054842000000014
8,2D_cyclic,5,flowmeter0,0.0980598981,0.0660114245,6043.0,1209.0,12086.0,0.0320484736
8,2D_cyclic,6,1138_bus,0.0964199353,0.0648024238,213.0,78.0,426.0,0.0316175115
8,2D_cyclic,6,cond-mat-2005,0.0963101952,0.0640089388,23351.0,3069.0,46702.0,0.032301256400000006
8,2D_cyclic,6,dixmaanl,0.10283825169999998,0.07083527499999999,15000.0,7500.0,30000.0,0.03200297669999999
8,2D_cyclic,6,flowmeter0,0.09742547939999999,0.06538545459999999,3577.0,1084.0,7154.0,0.0320400248
8,2D_cyclic,7,1138_bus,0.0959980783,0.0644074004,431.0,142.0,862.0,0.0315906779
8,2D_cyclic,7,cond-mat-2005,0.0962324563,0.0640372248,20123.0,2367.0,40246.0,0.032195231500000004
8,2D_cyclic,7,dixmaanl,0.0960611403,0.064012976,30000.0,7500.0,60000.0,0.0320481643
8,2D_cyclic,7,flowmeter0,0.10203035399999999,0.06641294079999999,6006.0,1209.0,12012.0,0.0356174132
